"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Christian Kirk","ARI","48.0","582.4","4.1","3.9","26.9","0.0","0.6","84.6"
"A.J. Green","ARI","50.7","620.1","3.9","0.0","0.0","0.0","0.7","84.1"
"Randall Cobb","GB","50.7","612.9","3.8","1.5","7.6","0.0","0.7","83.4"
"Rashod Bateman","BAL","43.8","578.7","4.4","0.8","4.8","0.0","0.6","83.2"
"Elijah Moore","NYJ","51.6","625.0","3.3","0.7","4.2","0.0","0.4","82.3"
"Rondale Moore","ARI","49.8","616.2","3.4","1.1","6.1","0.0","1.2","80.2"
"DeSean Jackson","LAR","35.5","560.2","3.6","2.8","17.1","0.1","0.6","78.7"
"Jamison Crowder","NYJ","52.2","583.7","3.5","0.3","3.3","0.0","0.6","78.5"
"Darius Slayton","NYG","42.1","568.7","3.5","0.8","2.6","0.0","0.6","76.9"
"Allen Lazard","GB","40.9","552.0","3.6","1.3","9.7","0.0","0.6","76.9"
"Parris Campbell","IND","43.6","527.3","3.4","4.9","30.4","0.2","0.4","76.0"
"Terrace Marshall Jr.","CAR","44.7","583.2","3.2","0.5","2.8","0.0","1.1","75.6"
"Jakobi Meyers","NE","45.3","573.5","2.5","0.8","4.0","0.0","0.4","72.4"
"Hunter Renfrow","LV","44.5","535.5","2.9","0.0","0.0","0.0","0.6","69.7"
"Van Jefferson","LAR","39.4","475.1","3.3","1.4","5.8","0.0","0.1","68.2"
"Anthony Miller","HOU","42.0","500.2","2.8","2.2","10.3","0.1","0.7","66.6"
"Denzel Mims","NYJ","37.1","525.5","2.2","0.3","0.8","0.0","0.1","65.6"
"Josh Reynolds","TEN","36.1","469.3","3.1","0.8","4.5","0.0","0.6","64.8"
"Marquez Valdes-Scantling","GB","25.7","438.6","3.3","2.5","14.8","0.0","0.6","64.3"
"Chris Conley","HOU","34.8","489.7","2.6","0.0","0.0","0.0","0.6","63.5"
"Keelan Cole Sr.","NYJ","37.0","475.9","2.6","0.0","0.0","0.0","0.5","62.5"
"Sammy Watkins","BAL","34.9","428.9","3.3","0.8","7.5","0.0","0.6","62.4"
"Marquez Callaway","NO","37.4","456.9","2.8","0.0","0.0","0.0","0.2","61.9"
"James Washington","PIT","33.4","453.1","2.9","0.0","0.0","0.0","0.6","61.7"
"D'Wayne Eskridge","SEA","34.1","419.8","3.2","0.7","3.7","0.0","0.2","61.0"
"Rashard Higgins","CLE","29.6","443.6","3.0","0.0","0.0","0.0","0.6","60.9"
"Amon-Ra St. Brown","DET","38.1","460.2","2.3","0.0","0.0","0.0","0.2","59.6"
"Demarcus Robinson","KC","34.3","411.5","3.2","0.0","0.0","0.0","0.6","59.1"
"Zach Pascal","IND","28.1","382.3","3.1","0.3","2.0","0.0","0.0","56.8"
"Jalen Guyton","LAC","27.4","419.5","2.3","2.0","7.9","0.1","0.1","56.6"
"Geronimo Allison","DET","38.9","419.4","2.3","0.0","0.0","0.0","0.0","55.4"
"Josh Palmer","LAC","30.0","416.2","2.5","1.0","6.0","0.0","1.0","55.1"
"Nico Collins","HOU","31.1","420.3","2.2","0.0","0.0","0.0","0.3","54.7"
"KJ Hamler","DEN","30.2","361.2","2.4","8.9","43.9","0.2","0.6","54.4"
"Kendrick Bourne","NE","31.6","400.9","2.3","0.0","0.0","0.0","0.1","53.3"
"Kadarius Toney","NYG","29.9","357.2","1.9","6.6","39.8","0.2","0.3","52.0"
"Tim Patrick","DEN","28.4","374.9","2.5","0.0","0.0","0.0","0.6","51.1"
"Olamide Zaccheaus","ATL","27.0","394.3","1.9","0.3","1.4","0.0","0.1","51.1"
"Keke Coutee","HOU","34.3","392.2","2.0","0.7","3.7","0.3","2.2","49.4"
