"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Malcolm Brown","MIA","75.9","288.4","3.1","14.7","100.0","0.2","0.6","57.1"
"Trayveon Williams","CIN","67.2","287.8","1.9","20.2","161.7","0.7","1.6","57.1"
"Kyle Juszczyk","SF","14.4","56.0","0.8","26.9","294.8","3.1","0.7","57.0"
"Justin Jackson","LAC","70.9","329.5","1.6","19.2","134.6","0.4","0.6","56.9"
"Kenneth Gainwell","PHI","61.5","292.0","1.8","15.0","127.6","0.8","1.1","55.5"
"Marlon Mack","IND","82.6","338.5","2.6","8.5","59.6","0.1","0.6","54.6"
"Mark Ingram II","HOU","59.3","231.5","2.4","11.3","106.2","1.1","0.6","53.3"
"Qadree Ollison","ATL","76.7","286.4","2.9","9.0","76.7","0.1","0.7","53.2"
"Benny Snell Jr.","PIT","81.2","297.9","2.9","7.6","49.7","0.2","0.7","51.7"
"Devontae Booker","NYG","74.1","324.1","1.8","12.5","78.0","0.2","0.7","50.8"
"Brian Hill","TEN","66.5","363.0","1.7","4.0","35.0","0.0","0.5","48.8"
"Brandon Bolden","NE","22.0","124.0","4.0","5.0","63.0","1.0","0.0","48.7"
"Rhamondre Stevenson","NE","55.5","253.0","2.2","8.4","73.1","0.6","1.0","47.3"
"Matt Breida","BUF","60.7","264.5","1.2","14.3","114.5","0.6","1.1","46.6"
"La'Mical Perine","NYJ","58.2","246.1","1.7","8.3","63.3","0.3","0.2","42.5"
"Kerryon Johnson","PHI","54.3","225.8","1.9","8.2","68.0","0.3","0.3","41.8"
"Boston Scott","PHI","35.9","159.0","1.3","17.1","141.7","0.6","0.6","40.7"
"Carlos Hyde","JAC","60.3","247.5","2.0","7.7","45.3","0.1","0.6","40.4"
"Peyton Barber","WAS","61.8","203.4","2.3","5.2","33.6","0.1","0.6","36.8"
"Samaje Perine","CIN","36.9","161.6","1.6","10.1","72.3","0.3","0.1","34.5"
"Mike Boone","DEN","48.5","240.9","1.5","3.1","19.3","0.1","0.6","34.1"
"Ty Johnson","NYJ","41.6","182.5","1.2","8.3","59.8","0.3","0.1","32.9"
"Javian Hawkins","ATL","46.0","189.5","1.5","4.6","35.4","0.1","0.2","31.6"
"Johnny Stanton","CLE","20.0","100.0","1.0","9.0","71.0","1.0","0.0","29.1"
"Jerick McKinnon","KC","21.1","86.8","0.8","14.4","112.9","0.6","0.1","28.2"
"D'Ernest Johnson","CLE","32.6","144.5","1.1","5.9","47.4","0.3","0.2","26.9"
"Dontrell Hilliard","HOU","23.0","82.0","2.0","9.0","67.0","0.0","0.0","26.9"
"Josh Adams","NYJ","28.0","136.0","2.0","1.0","5.0","0.0","0.0","26.1"
"Eno Benjamin","ARI","32.3","142.3","1.1","5.3","44.4","0.1","0.1","25.8"
"Raymond Calais","LAR","25.2","104.8","1.4","6.9","55.3","0.3","0.1","25.4"
"Ameer Abdullah","MIN","23.9","111.3","0.3","10.5","76.1","0.8","0.1","25.2"
"Travis Homer","SEA","30.1","127.5","1.0","6.3","46.9","0.3","0.2","25.0"
"Anthony McFarland Jr.","PIT","43.0","160.2","0.9","5.0","41.3","0.1","0.6","24.9"
"Jordan Howard","PHI","29.0","125.0","2.0","0.0","3.0","0.0","0.0","24.8"
"Jeremy McNichols","TEN","30.6","133.8","0.9","6.4","40.0","0.2","0.1","24.0"
"Larry Rountree III","LAC","28.7","120.4","1.1","4.6","34.9","0.2","0.1","22.9"
"Elijah Mitchell","SF","25.2","118.0","0.8","5.9","53.1","0.2","0.0","22.6"
"Jermar Jefferson","DET","26.8","111.5","0.7","6.9","51.7","0.2","0.1","21.6"
"Lamar Miller","WAS","22.0","91.8","1.2","4.3","34.5","0.1","0.0","20.3"
"Justice Hill","BAL","19.3","82.9","0.6","7.1","53.9","0.4","0.1","19.5"
"Jalen Richard","LV","17.4","77.6","0.4","9.1","78.3","0.3","0.1","19.4"
"Dexter Williams","GB","16.1","68.8","0.5","8.7","67.0","0.4","0.1","18.7"
"Ty Montgomery","NO","12.8","53.8","0.3","10.3","85.7","0.5","0.1","18.7"
"Jaylen Samuels","PIT","15.5","64.5","0.4","10.6","72.0","0.4","0.1","18.1"
"JaMycal Hasty","SF","20.6","108.4","0.6","2.0","13.6","0.0","0.0","16.0"
"Reggie Bonnafon","CAR","18.2","96.0","0.6","2.6","21.3","0.1","0.0","15.8"
"Jordan Wilkins","IND","19.3","97.0","0.6","1.5","11.6","0.0","0.0","14.5"
"Patrick Ricard","BAL","0.5","-1.5","0.0","12.0","79.5","1.1","0.5","13.5"
"Rico Dowdle","DAL","13.6","57.6","0.5","4.7","37.1","0.2","0.1","13.2"
"Alec Ingold","LV","4.4","18.3","0.1","8.4","74.3","0.4","0.1","12.1"
"C.J. Ham","MIN","4.8","20.0","0.2","7.8","67.4","0.4","0.1","11.7"
"Theo Riddick","LV","13.1","54.1","0.4","4.4","32.9","0.2","0.1","11.6"
"Gary Brightwell","NYG","12.3","50.9","0.5","2.1","15.8","0.1","0.1","10.0"
"Chris Evans","CIN","7.8","32.5","0.3","4.5","34.0","0.2","0.1","9.1"
"Xavier Jones","LAR","8.4","34.9","0.5","2.3","18.4","0.1","0.0","8.4"
"Demetric Felton","CLE","9.3","39.4","0.4","1.9","15.2","0.1","0.0","8.1"
"Alex Collins","SEA","8.6","36.1","0.4","2.0","14.8","0.1","0.1","7.7"
"Ke'Shawn Vaughn","TB","8.2","34.5","0.2","2.4","18.0","0.1","0.0","7.2"
"Dwayne Washington","NO","8.5","36.2","0.2","2.1","16.9","0.1","0.0","7.1"
"Alex Armah","NO","4.3","17.6","0.1","4.0","35.6","0.2","0.1","6.9"
"Royce Freeman","DEN","9.2","38.1","0.2","2.2","14.7","0.1","0.0","6.8"
"Khalil Herbert","CHI","8.3","34.4","0.2","2.0","16.3","0.1","0.0","6.8"
"J.J. Taylor","NE","4.7","20.2","0.2","3.9","30.2","0.1","0.0","6.8"
"Patrick Laird","MIA","4.1","16.9","0.1","4.6","34.0","0.2","0.0","6.6"
"Gabe Nabers","LAC","2.1","8.9","0.1","4.5","37.6","0.2","0.1","6.3"
"Keith Smith","ATL","2.1","8.8","0.1","4.5","37.2","0.1","0.1","5.6"
"Michael Burton","KC","3.5","14.9","0.1","2.3","20.0","0.1","0.0","5.0"
"Darwin Thompson","KC","3.5","14.7","0.1","2.4","18.1","0.1","0.0","4.7"
"Elijhaa Penny","NYG","4.1","16.9","0.2","2.1","16.6","0.1","0.0","4.7"
"Antonio Williams","BUF","7.2","31.0","0.2","0.0","0.0","0.0","0.0","4.5"
"Khari Blasingame","TEN","0.0","0.0","0.0","3.7","33.2","0.2","0.0","4.5"
"Andy Janovich","CLE","0.0","0.0","0.0","3.7","34.5","0.2","0.0","4.4"
"Ben Mason","BAL","0.0","0.0","0.0","3.5","27.6","0.2","0.0","4.1"
"Jakob Johnson","NE","0.0","0.0","0.0","3.8","32.5","0.1","0.0","3.9"
"Kylin Hill","GB","6.1","25.2","0.2","0.0","0.0","0.0","0.0","3.7"
"Devine Ozigbo","JAC","3.8","16.4","0.1","0.0","0.0","0.0","0.0","2.3"
"Derek Watt","PIT","3.9","16.5","0.1","0.0","0.0","0.0","0.0","2.2"
""
""
