,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
49,James White,NE,RB,52.4,214.8,1.8,52.3,423.4,2.3,1.2,0.0,0.0,0,0.0,0.0
50,Alexander Mattison,MIN,RB,115.5,519.5,2.7,16.2,132.9,0.6,0.7,0.0,0.0,0,0.0,0.0
51,Tarik Cohen,CHI,RB,66.4,277.8,1.3,54.8,374.2,2.0,1.3,0.0,0.0,0,0.0,0.0
52,Phillip Lindsay,HOU,RB,104.2,460.5,2.7,20.7,132.4,0.3,1.1,0.0,0.0,0,0.0,0.0
53,Rashaad Penny,SEA,RB,89.8,418.9,3.1,14.8,116.6,0.7,0.7,0.0,0.0,0,0.0,0.0
54,Darrel Williams,KC,RB,79.0,331.1,3.2,21.1,155.7,0.8,0.6,0.0,0.0,0,0.0,0.0
55,Sony Michel,NE,RB,99.3,439.9,2.9,7.8,68.2,0.4,0.6,0.0,0.0,0,0.0,0.0
56,Ty Johnson,NYJ,RB,76.2,329.5,2.2,19.9,137.9,0.6,0.3,0.0,0.0,0,0.0,0.0
57,Xavier Jones,LAR,RB,83.1,342.7,2.8,12.1,97.2,0.6,0.6,0.0,0.0,0,0.0,0.0
58,Giovani Bernard,TB,RB,54.3,197.6,1.4,35.8,272.4,1.5,0.6,0.0,0.0,0,0.0,0.0
59,Damien Williams,CHI,RB,67.1,281.2,2.7,17.9,126.3,0.9,0.6,0.0,0.0,0,0.0,0.0
60,Jeff Wilson Jr.,SF,RB,70.1,308.8,3.6,5.3,48.9,0.6,1.0,0.0,0.0,0,0.0,0.0
61,Malcolm Brown,MIA,RB,79.0,307.4,3.5,10.6,70.6,0.2,0.7,0.0,0.0,0,0.0,0.0
62,Joshua Kelley,LAC,RB,100.2,375.0,2.5,10.5,75.7,0.2,1.7,0.0,0.0,0,0.0,0.0
63,Darrynton Evans,TEN,RB,57.3,247.7,2.0,16.8,138.2,1.0,0.7,0.0,0.0,0,0.0,0.0
64,Salvon Ahmed,MIA,RB,74.0,311.3,2.1,12.6,84.4,0.4,0.3,0.0,0.0,0,0.0,0.0
65,Marlon Mack,IND,RB,74.3,316.5,2.6,9.2,65.5,0.2,0.6,0.0,0.0,0,0.0,0.0
66,Cordarrelle Patterson,ATL,RB,55.1,252.1,1.6,15.1,133.2,0.7,0.2,0.0,0.0,0,0.0,0.0
67,Kenneth Gainwell,PHI,RB,61.9,281.1,1.9,14.1,111.5,0.6,1.1,0.0,0.0,0,0.0,0.0
68,Justin Jackson,LAC,RB,69.3,313.5,1.4,13.3,95.1,0.3,0.6,0.0,0.0,0,0.0,0.0
69,Devontae Booker,NYG,RB,75.5,318.3,1.8,10.5,69.7,0.2,0.7,0.0,0.0,0,0.0,0.0
70,Rex Burkhead,HOU,RB,35.6,150.2,1.4,18.9,172.0,1.3,0.6,0.0,0.0,0,0.0,0.0
71,Jake Funk,LAR,RB,48.4,201.4,2.2,14.2,113.3,0.5,0.3,0.0,0.0,0,0.0,0.0
72,Qadree Ollison,ATL,RB,67.3,257.8,2.4,9.0,71.9,0.2,0.7,0.0,0.0,0,0.0,0.0
73,Wayne Gallman,SF,RB,55.2,245.5,2.5,9.2,72.0,0.4,1.0,0.0,0.0,0,0.0,0.0
74,Chuba Hubbard,CAR,RB,61.9,261.7,2.0,10.7,86.9,0.4,1.1,0.0,0.0,0,0.0,0.0
75,Rhamondre Stevenson,NE,RB,60.6,264.2,2.1,9.9,74.1,0.4,1.1,0.0,0.0,0,0.0,0.0
76,Mark Ingram II,HOU,RB,57.5,235.8,1.8,11.0,91.0,0.7,0.6,0.0,0.0,0,0.0,0.0
77,Larry Rountree III,LAC,RB,57.2,240.6,2.1,9.3,69.8,0.3,0.3,0.0,0.0,0,0.0,0.0
78,Kyle Juszczyk,SF,RB,14.0,52.9,0.7,21.8,230.7,2.0,0.7,0.0,0.0,0,0.0,0.0
79,Brian Hill,TEN,RB,56.2,281.0,1.2,7.6,56.2,0.2,0.7,0.0,0.0,0,0.0,0.0
